StateCode,State,Total Production,Renewable_Share_%,Net_Energy_Balance,Region,"Production, Rank","Consumption per Capita, Rank",Coal,Natural Gas,Crude Oil,Nuclear,Biofuels,Wood/Waste,Other Renewables,Total Production
AK,Alaska,1320.75,0.763732728,306.75,West,13,1,15.496,410.727,884.44,0,0,3.404,6.683,1320.75
AZ,Arizona,411.139,19.84608612,207.139,West,32,40,0,0,0,329.474,0,9.722,71.873,411.139
AR,Arkansas,671.299,13.46032096,329.299,South,22,15,0,399.132,25.316,156.492,7.964,66.429,15.966,671.299
CA,California,1641.594,38.64037027,1467.594,West,12,50,0,148.926,673.157,185.192,67.163,114.583,452.572,1641.594
CO,Colorado,3559.311,3.04890469,3327.311,West,9,34,256.169,2245.754,948.868,0,19.666,9.305,79.549,3559.311
CT,Connecticut,177.908,19.69220046,-11.092,Northeast,41,45,0,0,0,142.873,3.776,22.987,8.271,177.908
DE,Delaware,3.315,100.0301659,-255.685,South,50,28,0,0,0,0,0,1.658,1.658,3.315
DC,District of Columbia,1.825,100,-195.175,South,51,42,0,0,0,0,0,1.014,0.811,1.825
FL,Florida,531.607,39.90372587,343.607,South,27,46,0,0.727,5.814,312.935,0.202,112.889,99.04,531.607
GA,Georgia,660.624,40.86197292,403.624,South,23,29,0,0,0,390.663,0,231.967,37.977,660.624
HI,Hawaii,17.524,100,-171.476,West,48,44,0,0,0,0,0.776,4.616,12.132,17.524
ID,Idaho,76.92,96.43525741,-179.08,West,44,30,0,2.554,0.188,0,6.146,25.979,42.053,76.92
IL,Illinois,2201.058,15.59113844,1925.058,Midwest,11,26,796.247,2.741,39.209,1019.691,231.899,21.478,89.793,2201.058
IN,Indiana,808.997,31.78639723,436.997,Midwest,18,11,539.129,4.013,8.704,0,181.488,31.588,44.075,808.997
IA,Iowa,782.941,99.99987228,345.941,Midwest,19,7,0,0,0,0,611.541,22.345,149.054,782.941
KS,Kansas,614.156,30.63944666,284.156,Midwest,25,17,0,160.886,157.42,107.675,88.491,4.863,94.82,614.156
KY,Kentucky,850.473,7.018447382,496.473,South,15,14,677.47,102.64,10.673,0,11.471,30.967,17.252,850.473
LA,Louisiana,4997.731,4.95288762,4089.731,South,6,2,4.326,4423.567,194.672,127.634,123.092,118.071,6.369,4997.731
ME,Maine,82.781,100,-152.219,Northeast,43,33,0,0,0,0,0.065,57.51,25.206,82.781
MD,Maryland,217.026,13.85916895,27.026,South,38,43,30.335,0,0,156.61,0,13.507,16.571,217.026
MA,Massachusetts,57.82,99.99827049,-124.18,Northeast,46,47,0,0,0,0,0.129,32.402,25.288,57.82
MI,Michigan,580.412,32.29981461,328.412,Midwest,26,31,0,72.824,27.501,292.615,46.68,96.694,44.098,580.412
MN,Minnesota,428.651,70.92623136,134.651,Midwest,31,20,0,0,0,124.626,192.204,50.598,61.224,428.651
MS,Mississippi,313.726,20.39263561,-51.274,South,35,12,27.466,27.937,71.539,122.807,5.506,55.26,3.211,313.726
MO,Missouri,210.003,52.67115232,-60.997,Midwest,39,27,3.087,0,0.358,95.947,66.466,15.007,29.138,210.003
MT,Montana,767.125,9.435489653,429.125,West,20,16,520.661,45.261,128.822,0,18.015,7.393,46.974,767.125
NE,Nebraska,401.345,79.56147454,-21.655,Midwest,33,8,0,0.28,9.358,72.391,268.796,4.525,45.995,401.345
NV,Nevada,65.997,98.2165856,-149.003,West,45,36,0,0,1.172,0,0.323,3.393,61.104,65.997
NH,New Hampshire,132.967,25.05057646,-77.033,Northeast,42,38,0,0,0,99.658,0.842,24.499,7.968,132.967
NJ,New Jersey,335.37,11.69067001,124.37,Northeast,34,37,0,0,0,296.162,0,20.763,18.444,335.37
NM,New Mexico,7651.766,1.096243665,7330.766,West,3,18,147.1,3634.458,3786.325,0,13.844,6.778,63.26,7651.766
NY,New York,516.805,42.41541781,342.805,Northeast,28,49,0,8.482,1.428,287.69,7.856,74.25,137.099,516.805
NC,North Carolina,614.879,28.03575988,387.879,South,24,35,0,0,0,442.493,0.216,113.026,59.144,614.879
ND,North Dakota,4491.856,3.573934694,3599.856,Midwest,7,3,320.145,1555.143,2456.032,0,102.205,0.716,57.615,4491.856
OH,Ohio,3001.427,5.453172774,2715.427,Midwest,10,22,46.592,2451.692,170.078,169.392,93.066,49.403,21.204,3001.427
OK,Oklahoma,4393.809,4.140917368,4019.809,South,8,10,0,3319.92,891.904,0,16.47,33.246,132.228,4393.809
OR,Oregon,192.922,99.94972061,-13.078,West,40,39,0,0.097,0,0,3.564,57.407,131.854,192.922
PA,Pennsylvania,10101.804,1.499227267,9824.804,Northeast,2,25,1122.315,8013.558,27.398,787.083,23.57,99.612,28.267,10101.804
RI,Rhode Island,8.863,99.98871714,-157.137,Northeast,49,51,0,0,0,0,0,4.659,4.203,8.863
SC,South Carolina,705.705,17.61926017,407.705,South,21,19,0,0,0,581.365,0,104.718,19.622,705.705
SD,South Dakota,235.952,97.75123754,-142.048,Midwest,37,9,0,0.135,5.171,0,178.518,3.437,48.691,235.952
TN,Tennessee,501.599,20.13361271,213.599,South,29,21,0,3.103,0.984,396.522,25.74,43.988,31.262,501.599
TX,Texas,27104.73,2.73798706,26644.73,South,1,6,182.181,14311.73,11443.509,425.186,118.759,98.463,524.902,27104.73
UT,Utah,825.655,3.567834023,577.655,West,17,32,156.571,318.533,321.093,0,0,5.575,23.883,825.655
VT,Vermont,19.612,100,-154.388,Northeast,47,48,0,0,0,0,0,11.61,8.002,19.612
VA,Virginia,834.458,18.4516177,555.458,South,16,24,282.79,87.638,0,310.037,0.12,125.789,28.062,834.458
WA,Washington,440.429,79.98247164,236.429,West,30,41,0,0,0,88.163,21.906,90.671,239.689,440.429
WV,West Virginia,6089.936,0.32113638,5619.936,,4,5,2201.825,3762.937,105.616,0,0,6.96,12.597,6089.936
WI,Wisconsin,275.057,63.20617181,-3.943,Midwest,36,23,0,0,0,101.204,78.992,76.164,18.697,275.057
WY,Wyoming,5845.631,0.960785927,4991.631,West,5,4,4133.004,1105.416,551.048,0,20.454,1.756,33.954,5845.631
